2.728 6.513
3.776 26.114
5.595 38.47
4.848 61.27
5.857 81.778
1.643 206.001
4.307 372.097
1.984 443.329
5.751 495.21
2.269 776.646
1.497 811.946
4.572 1036.59
5.993 1050.06
1.837 1117.66
5.311 1239.9
5.425 1252.27
5.183 1293.06
5.918 1311.41
2.132 1316.97
2.805 1401.35
4.593 1442.08
3.611 1626.52
4.554 1635.71
4.225 1805.59
3.966 1819.97
2.919 146.334
4.49 286.862
4.626 481.883
6.927 537.786
5.91 679.004
4.395 701.913
2.624 905.417
2.864 952.995
3.14 1215.4
4.659 1232.24
5.068 1388.68
2.7 1464.63
2.396 1469.44
6.73 1513.48
4.579 1611.45
5.97 1638.63
3.518 1730.79
5.429 1786.68
3.618 44.313
7.959 75.643
5.499 195.918
4.08 233.122
5.059 310.057
3.302 371.291
7.953 385.699
6.627 392.007
6.672 488.708
5.74 862.239
3.294 912.343
7.442 946.68
5.149 1063.57
7.382 1109.12
3.013 1113.96
7.827 1114.93
6.593 1248.29
6.083 1250.97
4.486 1326.47
3.304 1504.41
3.771 1541.31
5.73 1551.97
7.946 1610.76
7.712 1612.09
3.179 1702.09
4.529 1730.94
4.628 1732.71
5.262 1760.33
6.897 1903.54
6.787 1920.35
5.992 1939.55
4.821 107.981
5.683 140.188
6.329 203.796
7.728 328.121
6.994 373.585
8.201 486.752
4.505 541.628
5.361 565.291
8.554 664.86
7.97 756.655
7.307 813.841
6.053 837.152
8.13 906.413
5.701 993.265
4.942 992.185
7.583 1057.06
4.855 1096.6
5.712 1204.88
4.334 1732.66
7.013 1792.98
8.949 1898.24
5.255 1964.64
6.595 1997.77
7.673 50.699
5.726 159.492
7.315 196.691
6.544 275.894
5.18 290.161
8.468 379.431
8.726 497.049
5.622 589.3
8.931 746.908
9.031 755.728
8.966 855.422
5.258 1203.95
5.191 1359.08
9.179 1438.72
9.992 1452.36
9.862 1640.14
7.074 1650.84
8.773 1918.44
9.905 1977.79
10.996 21.834
6.632 171.086
8.152 181.412
6.516 300.236
7.652 315.617
6.808 349.886
8.502 379.662
7.939 551.205
6.928 556.238
6.027 693.115
6.998 696.457
8.921 746.507
9.18 941.289
7.105 1081.74
8.288 1101.91
6.066 1205.98
9.852 1246.81
10.762 1500.93
10.738 1827.13
6.047 1895.3
8.748 1944.53
11.658 152.883
9.348 295.541
9.874 377.883
11.204 458.37
11.113 467.494
11.663 544.94
8.616 546.523
7.512 580.935
9.333 683.571
8.56 1220.54
9.256 1450.64
9.778 1674.73
7.843 1710.4
7.563 1817.44
10.026 16.704
10.871 36.392
9.276 51.229
12.9 239.846
